X,Y,id,tag,map,fid,elev,type,bbox
3078707.58315243,1416350.53999978,ContourElevations.223,223,g40lc,223,826,contour,"[ 3078265.750000, 1416000.000000, 3079053.880000, 1416700.340000 ]"
3086227.51876652,1416817.485,ContourElevations.224,224,g40lc,224,824,contour,"[ 3085859.790000, 1416000.000000, 3086525.910000, 1417619.500000 ]"
3086054.5169139,1416462.29,ContourElevations.225,225,g40lc,225,822,contour,"[ 3086029.790000, 1416000.000000, 3086494.690000, 1416926.670000 ]"
3086071.35499999,1416317.87,ContourElevations.226,226,g40lc,226,820,index,"[ 3086058.600000, 1416000.000000, 3086457.260000, 1416632.500000 ]"
3086103.22278014,1416288.09500021,ContourElevations.227,227,g40lc,227,818,contour,"[ 3086082.160000, 1416000.000000, 3086422.170000, 1416572.870000 ]"
3082826.065,1416052.56,ContourElevations.228,228,g40lc,228,816,depressed_contour,"[ 3082754.090000, 1416011.690000, 3082826.910000, 1416092.830000 ]"
3082831.89500001,1416055.30499996,ContourElevations.229,229,g40lc,229,818,depressed_contour,"[ 3082735.240000, 1416005.440000, 3082833.040000, 1416103.460000 ]"
3078333.03,1416055.06,ContourElevations.230,230,g40lc,230,814,contour,"[ 3078293.670000, 1416006.450000, 3078390.730000, 1416103.250000 ]"
3078328.85115577,1416029.32499992,ContourElevations.231,231,g40lc,231,812,contour,"[ 3078299.630000, 1416011.890000, 3078329.350000, 1416045.830000 ]"
,,ContourElevations.232,232,g40lc,232,836,depressed_contour,"[ 3086886.650000, 1416022.080000, 3086927.780000, 1416184.050000 ]"
3083922.39,1416029.59,ContourElevations.233,233,g40lc,233,838,depressed_contour,"[ 3083890.670000, 1416017.880000, 3083923.750000, 1416045.440000 ]"
3083915.76971429,1416031.06,ContourElevations.234,234,g40lc,234,836,depressed_contour,"[ 3083895.830000, 1416020.250000, 3083916.100000, 1416039.010000 ]"
,,ContourElevations.235,235,g40lc,235,828,depressed_contour,"[ 3083395.790000, 1416020.940000, 3083649.590000, 1416430.310000 ]"
3082764.68789993,1416048.30500005,ContourElevations.236,236,g40lc,236,814,depressed_contour,"[ 3082764.490000, 1416018.880000, 3082820.100000, 1416077.970000 ]"
3082869.95408209,1416031.6599999,ContourElevations.237,237,g40lc,237,838,contour,"[ 3082861.410000, 1416025.290000, 3082875.440000, 1416035.750000 ]"
3078311.98,1416027.4299999,ContourElevations.238,238,g40lc,238,808,contour,"[ 3078311.660000, 1416024.000000, 3078316.320000, 1416030.330000 ]"
3078322.62172043,1416026.80999989,ContourElevations.239,239,g40lc,239,810,index,"[ 3078305.540000, 1416017.320000, 3078322.660000, 1416038.080000 ]"
,,ContourElevations.240,240,g40lc,240,826,depressed_contour,"[ 3083409.470000, 1416036.580000, 3083597.820000, 1416407.070000 ]"
3078110.63,1416131.35,ContourElevations.241,241,g40lc,241,808,contour,"[ 3078000.000000, 1416027.567700, 3078119.590000, 1416232.430000 ]"
3086944.21832412,1416170.40999952,ContourElevations.242,242,g40lc,242,836,contour,"[ 3086943.800000, 1416038.050000, 3087000.000000, 1416363.480000 ]"
3083522.3899437,1416208.4799999,ContourElevations.243,243,g40lc,243,824,depressed_contour,"[ 3083419.820000, 1416053.160000, 3083587.170000, 1416363.210000 ]"
3082906.56,1416062.87499995,ContourElevations.244,244,g40lc,244,830,depressed_index,"[ 3082898.850000, 1416051.460000, 3082926.340000, 1416069.530000 ]"
3078106.245,1416129.35500002,ContourElevations.245,245,g40lc,245,806,contour,"[ 3078000.000000, 1416045.502500, 3078111.370000, 1416216.840000 ]"
3078344.23492844,1416074.33,ContourElevations.246,246,g40lc,246,812,contour,"[ 3078342.820000, 1416050.970000, 3078381.550000, 1416097.740000 ]"
,,ContourElevations.247,247,g40lc,247,828,depressed_contour,"[ 3082908.550000, 1416056.030000, 3082919.460000, 1416064.610000 ]"
3078006.07,1416093.22,ContourElevations.248,248,g40lc,248,804,contour,"[ 3078000.000000, 1416064.021600, 3078006.450000, 1416124.891600 ]"
,,ContourElevations.249,249,g40lc,249,808,contour,"[ 3078354.810000, 1416062.650000, 3078363.690000, 1416077.280000 ]"
3078371.60470779,1416072.11,ContourElevations.250,250,g40lc,250,810,index,"[ 3078350.730000, 1416056.810000, 3078372.250000, 1416089.630000 ]"
3083836.19,1416170.41,ContourElevations.251,251,g40lc,251,832,depressed_contour,"[ 3083823.650000, 1416075.770000, 3083926.800000, 1416253.290000 ]"
3082836.17909583,1416107.93500019,ContourElevations.252,252,g40lc,252,830,index,"[ 3082831.270000, 1416080.930000, 3082859.330000, 1416133.740000 ]"
,,ContourElevations.253,253,g40lc,253,838,depressed_contour,"[ 3084062.930000, 1416081.370000, 3084357.620000, 1416301.050000 ]"
3083914.31462624,1416167.87500004,ContourElevations.254,254,g40lc,254,830,depressed_index,"[ 3083830.350000, 1416093.600000, 3083917.200000, 1416246.970000 ]"
3083991.51917265,1416097.67,ContourElevations.255,255,g40lc,255,830,depressed_index,"[ 3083964.790000, 1416094.040000, 3084000.420000, 1416107.440000 ]"
,,ContourElevations.256,256,g40lc,256,832,depressed_contour,"[ 3083942.140000, 1416086.260000, 3084016.750000, 1416124.960000 ]"
3078250.025,1416243.58,ContourElevations.257,257,g40lc,257,824,contour,"[ 3078000.000000, 1416084.560900, 3078304.510000, 1416400.320000 ]"
3080917.23651498,1416585.42000025,ContourElevations.258,258,g40lc,258,938,contour,"[ 3080659.040000, 1416087.680000, 3081185.090000, 1417078.100000 ]"
3082845.5064891,1416104.10500023,ContourElevations.259,259,g40lc,259,832,contour,"[ 3082841.760000, 1416086.240000, 3082854.700000, 1416116.260000 ]"
3084332.86816995,1416140.53,ContourElevations.260,260,g40lc,260,836,depressed_contour,"[ 3084201.270000, 1416101.210000, 3084342.610000, 1416182.500000 ]"
3083907.36373731,1416171.775,ContourElevations.261,261,g40lc,261,828,depressed_contour,"[ 3083839.170000, 1416102.490000, 3083909.020000, 1416240.230000 ]"
3078098.485,1416145.185,ContourElevations.262,262,g40lc,262,804,depressed_contour,"[ 3078000.000000, 1416105.480000, 3078101.140000, 1416182.800000 ]"
,,ContourElevations.263,263,g40lc,263,802,depressed_contour,"[ 3078005.300000, 1416113.950000, 3078096.150000, 1416153.930000 ]"
3083859.81956021,1416180.61499998,ContourElevations.264,264,g40lc,264,826,depressed_contour,"[ 3083846.340000, 1416124.220000, 3083900.830000, 1416232.660000 ]"
3083601.89106528,1416190.00500005,ContourElevations.265,265,g40lc,265,832,depressed_contour,"[ 3083601.370000, 1416132.540000, 3083664.970000, 1416247.560000 ]"
3084011.55499999,1416242.03,ContourElevations.266,266,g40lc,266,832,depressed_contour,"[ 3083929.060000, 1416160.480000, 3084031.220000, 1416323.320000 ]"
3083861.91,1416185.52,ContourElevations.267,267,g40lc,267,824,depressed_contour,"[ 3083854.310000, 1416148.680000, 3083892.640000, 1416221.320000 ]"
3082455.17309739,1416192.8099999,ContourElevations.268,268,g40lc,268,838,contour,"[ 3082452.800000, 1416159.180000, 3082494.010000, 1416223.050000 ]"
3084002.99499999,1416239.94499996,ContourElevations.269,269,g40lc,269,830,depressed_index,"[ 3083935.800000, 1416164.880000, 3084023.470000, 1416314.840000 ]"
3083946.53555967,1416237.49499993,ContourElevations.270,270,g40lc,270,828,depressed_contour,"[ 3083942.350000, 1416168.770000, 3084016.660000, 1416306.880000 ]"
3083012.30773099,1416212.05999982,ContourElevations.271,271,g40lc,271,836,contour,"[ 3083003.760000, 1416165.670000, 3083144.040000, 1416255.660000 ]"
3082640.05,1416192.92500002,ContourElevations.272,272,g40lc,272,834,contour,"[ 3082588.740000, 1416166.580000, 3082650.020000, 1416221.900000 ]"
3083025.27946441,1416209.62999987,ContourElevations.273,273,g40lc,273,834,contour,"[ 3083016.390000, 1416173.200000, 3083136.230000, 1416249.600000 ]"
3082852.47147614,1416257.05499995,ContourElevations.274,274,g40lc,274,826,depressed_contour,"[ 3082835.680000, 1416187.430000, 3082898.980000, 1416328.770000 ]"
3083958.8944377,1416236.87499992,ContourElevations.275,275,g40lc,275,826,depressed_contour,"[ 3083954.050000, 1416184.850000, 3084000.120000, 1416287.800000 ]"
3081416.87188381,1416238.2,ContourElevations.276,276,g40lc,276,848,contour,"[ 3081409.800000, 1416182.160000, 3081463.640000, 1416292.990000 ]"
3083034.46503427,1416209.69999989,ContourElevations.277,277,g40lc,277,832,contour,"[ 3083025.140000, 1416180.720000, 3083128.410000, 1416243.550000 ]"
,,ContourElevations.278,278,g40lc,278,832,contour,"[ 3082609.370000, 1416185.730000, 3082640.620000, 1416218.240000 ]"
3083039.29766495,1416214.39,ContourElevations.279,279,g40lc,279,830,index,"[ 3083033.890000, 1416186.960000, 3083119.930000, 1416237.500000 ]"
,,ContourElevations.280,280,g40lc,280,836,depressed_contour,"[ 3084071.490000, 1416189.640000, 3084218.460000, 1416291.790000 ]"
,,ContourElevations.281,281,g40lc,281,828,contour,"[ 3083042.630000, 1416192.210000, 3083110.930000, 1416231.450000 ]"
3083065.345,1416213.64,ContourElevations.282,282,g40lc,282,826,contour,"[ 3083051.380000, 1416197.450000, 3083101.930000, 1416225.490000 ]"
3084148.36264845,1416241.78500001,ContourElevations.283,283,g40lc,283,830,depressed_index,"[ 3084148.320000, 1416214.650000, 3084195.150000, 1416267.900000 ]"
3084079.53116279,1416221.88500003,ContourElevations.284,284,g40lc,284,834,depressed_contour,"[ 3084079.430000, 1416208.500000, 3084111.930000, 1416235.510000 ]"
3084143.06832605,1416242.07,ContourElevations.285,285,g40lc,285,832,depressed_contour,"[ 3084142.770000, 1416209.400000, 3084202.810000, 1416274.990000 ]"
